Time,Angle
0.0,28.9
0.02,31.4
0.04,33.5
0.06,35.3
0.08,36.6
0.1,37.6
0.12,38.2
0.14,38.2
0.16,37.9
0.18,37.2
0.2,36.0
0.22,34.5
0.24,32.6
0.26,30.2
0.28,27.6
0.3,24.7
0.32,21.5
0.34,18.0
0.36,14.4
0.38,10.5
0.4,6.6
0.42,2.5
0.44,-1.4
0.46,-5.5
0.48,-9.5
0.5,-13.2
0.52,-16.9
0.54,-20.4
0.56,-23.6
0.58,-26.6
0.6,-29.2
0.62,-31.5
0.64,-33.4
0.66,-35.0
0.68,-36.2
0.7,-36.9
0.72,-37.3
0.74,-37.3
0.76,-36.8
0.78,-35.9
0.8,-34.7
0.82,-33.0
0.84,-31.1
0.86,-28.7
0.88,-26.1
0.9,-23.1
0.92,-19.9
0.94,-16.5
0.96,-12.9
0.98,-9.1
1.0,-5.3
1.02,-1.3
1.04,2.5
1.06,6.5
1.08,10.3
1.1,14.0
1.12,17.4
1.14,20.7
1.16,23.8
1.18,26.6
1.2,29.0
1.22,31.1
1.24,32.9
1.26,34.2
1.28,35.2
1.3,35.8
1.32,36.0
1.34,35.8
1.36,35.2
1.38,34.2
1.4,32.9
1.42,31.1
1.44,29.0
1.46,26.6
1.48,23.8
1.5,20.9
1.52,17.6
1.54,14.2
1.56,10.6
1.58,6.9
1.6,3.2
1.62,-0.7
1.64,-4.5
1.66,-8.2
1.68,-11.9
1.7,-15.3
1.72,-18.6
1.74,-21.7
1.76,-24.5
1.78,-27.1
1.8,-29.3
1.82,-31.1
1.84,-32.7
1.86,-33.8
1.88,-34.7
1.9,-35.0
1.92,-35.1
1.94,-34.7
1.96,-33.9
1.98,-32.8
2.0,-31.3
2.02,-29.5
2.04,-27.3
2.06,-24.8
2.08,-22.1
2.1,-19.1
2.12,-15.8
2.14,-12.5
2.16,-9.0
2.18,-5.3
2.2,-1.6
2.22,2.1
2.24,5.8
2.26,9.4
2.28,12.8
2.3,16.1
2.32,19.3
2.34,22.1
2.36,24.7
2.38,27.1
2.4,29.2
2.42,30.8
2.44,32.1
2.46,33.1
2.48,33.7
2.5,33.9
2.52,33.7
2.54,33.2
2.56,32.3
2.58,31.0
2.6,29.3
2.62,27.4
2.64,25.1
2.66,22.6
2.68,19.7
2.7,16.7
2.72,13.5
2.74,10.1
2.76,6.6
2.78,3.1
2.8,-0.5
2.82,-4.1
2.84,-7.7
2.86,-11.1
2.88,-14.4
2.9,-17.5
2.92,-20.4
2.94,-23.0
2.96,-25.5
2.98,-27.5
3.0,-29.3
3.02,-30.8
3.04,-31.9
3.06,-32.7
3.08,-33.0
3.1,-33.0
3.12,-32.7
3.14,-32.0
3.16,-30.9
3.18,-29.4
3.2,-27.6
3.22,-25.6
3.24,-23.2
3.26,-20.6
3.28,-17.8
3.3,-14.8
3.32,-11.5
3.34,-8.3
3.36,-4.8
3.38,-1.3
3.4,2.2
3.42,5.6
3.44,9.0
3.46,12.2
3.48,15.4
3.5,18.3
3.52,21.0
3.54,23.5
3.56,25.7
3.58,27.5
3.6,29.2
3.62,30.3
3.64,31.2
3.66,31.8
3.68,32.0
3.7,31.7
3.72,31.1
3.74,30.2
3.76,29.0
3.78,27.5
3.8,25.6
3.82,23.3
3.84,20.9
3.86,18.3
3.88,15.3
3.9,12.2
3.92,9.1
3.94,5.8
3.96,2.4
3.98,-1.0
4.0,-4.3
4.02,-7.7
4.04,-10.9
4.06,-14.0
4.08,-16.8
4.1,-19.5
4.12,-22.1
4.14,-24.3
4.16,-26.2
4.18,-27.8
4.2,-29.2
4.22,-30.2
4.24,-30.8
4.26,-31.1
4.28,-31.0
4.3,-30.6
4.32,-29.9
4.34,-28.8
4.36,-27.4
4.38,-25.7
4.4,-23.7
4.42,-21.4
4.44,-18.9
4.46,-16.2
4.48,-13.3
4.5,-10.3
4.52,-7.1
4.54,-3.9
4.56,-0.6
4.58,2.7
4.6,5.9
4.62,9.1
4.64,12.2
4.66,15.0
4.68,17.7
4.7,20.2
4.72,22.5
4.74,24.5
4.76,26.3
4.78,27.6
4.8,28.7
4.82,29.5
4.84,29.9
4.86,30.0
4.88,29.7
4.9,29.1
4.92,28.2
4.94,26.9
4.96,25.3
4.98,23.5
5.0,21.3
5.02,19.0
5.04,16.5
5.06,13.7
5.08,10.7
5.1,7.7
5.12,4.6
5.14,1.3
5.16,-1.8
5.18,-5.0
5.2,-8.0
5.22,-11.1
5.24,-14.0
5.26,-16.6
5.28,-19.1
5.3,-21.3
5.32,-23.4
5.34,-25.1
5.36,-26.6
5.38,-27.7
5.4,-28.5
5.42,-29.1
5.44,-29.3
5.46,-29.1
5.48,-28.6
5.5,-27.8
5.52,-26.6
5.54,-25.3
5.56,-23.6
5.58,-21.6
5.6,-19.4
5.62,-17.0
5.64,-14.4
5.66,-11.6
5.68,-8.7
5.7,-5.7
5.72,-2.6
5.74,0.5
5.76,3.5
5.78,6.6
5.8,9.5
5.82,12.3
5.84,15.0
5.86,17.5
5.88,19.8
5.9,21.9
5.92,23.7
5.94,25.2
5.96,26.4
5.98,27.3
6.0,27.9
6.02,28.2
6.04,28.1
6.06,27.7
6.08,27.1
6.1,26.1
6.12,24.7
6.14,23.2
6.16,21.3
6.18,19.3
6.2,16.9
6.22,14.5
6.24,11.8
6.26,9.0
6.28,6.1
6.3,3.2
6.32,0.1
6.34,-2.9
6.36,-5.8
6.38,-8.6
6.4,-11.4
6.42,-14.0
6.44,-16.6
6.46,-18.8
6.48,-20.9
6.5,-22.7
6.52,-24.2
6.54,-25.5
6.56,-26.4
6.58,-27.1
6.6,-27.5
6.62,-27.5
6.64,-27.2
6.66,-26.6
6.68,-25.7
6.7,-24.6
6.72,-23.1
6.74,-21.4
6.76,-19.4
6.78,-17.3
6.8,-14.9
6.82,-12.4
6.84,-9.7
6.86,-6.9
6.88,-4.1
6.9,-1.2
6.92,1.7
6.94,4.6
6.96,7.4
6.98,10.1
7.0,12.7
7.02,15.1
7.04,17.5
7.06,19.4
7.08,21.3
7.1,22.9
7.12,24.2
7.14,25.2
7.16,25.9
7.18,26.4
7.2,26.5
7.22,26.3
7.24,25.8
7.26,25.0
7.28,23.9
7.3,22.6
7.32,21.0
7.34,19.2
7.36,17.1
7.38,14.9
7.4,12.4
7.42,9.8
7.44,7.2
7.46,4.4
7.48,1.6
7.5,-1.3
7.52,-4.1
7.54,-6.8
7.56,-9.5
7.58,-12.0
7.6,-14.4
7.62,-16.7
7.64,-18.6
7.66,-20.4
7.68,-22.1
7.7,-23.3
7.72,-24.4
7.74,-25.2
7.76,-25.7
7.78,-25.8
7.8,-25.7
7.82,-25.3
7.84,-24.6
7.86,-23.6
7.88,-22.4
7.9,-20.9
7.92,-19.2
7.94,-17.2
7.96,-15.1
7.98,-12.8
8.0,-10.4
8.02,-7.7
8.04,-5.1
8.06,-2.4
8.08,0.4
8.1,3.1
8.12,5.8
8.14,8.3
8.16,10.8
8.18,13.2
8.2,15.4
8.22,17.5
8.24,19.3
8.26,20.9
8.28,22.2
8.3,23.3
8.32,24.1
8.34,24.6
8.36,24.8
8.38,24.8
8.4,24.5
8.42,23.8
8.44,23.0
8.46,21.8
8.48,20.4
8.5,18.7
8.52,16.9
8.54,14.9
8.56,12.6
8.58,10.3
8.6,7.8
8.62,5.2
8.64,2.6
8.66,0.0
8.68,-2.7
8.7,-5.3
8.72,-7.8
8.74,-10.3
8.76,-12.6
8.78,-14.8
8.8,-16.7
8.82,-18.5
8.84,-20.1
8.86,-21.4
8.88,-22.5
8.9,-23.3
8.92,-23.8
8.94,-24.2
8.96,-24.2
8.98,-23.9
9.0,-23.4
9.02,-22.5
9.04,-21.5
9.06,-20.2
9.08,-18.6
9.1,-16.9
9.12,-14.9
9.14,-12.9
9.16,-10.5
9.18,-8.2
9.2,-5.8
9.22,-3.2
9.24,-0.6
9.26,1.9
9.28,4.4
9.3,6.9
9.32,9.3
9.34,11.5
9.36,13.7
9.38,15.7
9.4,17.5
9.42,19.0
9.44,20.3
9.46,21.5
9.48,22.3
9.5,23.0
9.52,23.2
9.54,23.3
9.56,23.0
9.58,22.6
9.6,21.9
9.62,20.9
9.64,19.6
9.66,18.2
9.68,16.5
9.7,14.7
9.72,12.6
9.74,10.4
9.76,8.2
9.78,5.8
9.8,3.3
9.82,0.8
9.84,-1.6
9.86,-4.1
9.88,-6.5
9.9,-8.8
9.92,-11.1
9.94,-13.1
9.96,-15.0
9.98,-16.8
